student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
69011,27.8,88.9,4.3,100.0,A
69012,15.7,76.0,8.0,80.0,B
69013,6.6,63.7,3.9,67.7,C
69014,2.6,99.8,4.8,62.2,C
69015,17.7,79.3,6.7,100.0,A
69016,7.3,74.3,8.8,71.1,B
69017,15.0,89.6,2.0,96.3,A
69018,7.5,81.1,3.4,58.7,C
69019,10.8,74.1,5.8,79.5,B
69020,11.0,89.7,8.9,75.2,B
69021,13.2,95.9,6.8,75.2,B
69022,9.8,80.8,4.4,71.1,B
69023,17.0,86.6,3.6,100.0,A
69024,22.0,74.4,8.0,100.0,A
69025,12.5,75.9,5.0,89.1,A
69026,16.8,100.0,5.9,88.0,A
69027,8.5,100.0,6.8,85.4,A
69028,4.0,91.9,3.1,54.5,D
69029,17.8,68.6,6.0,96.9,A
69030,21.2,73.3,7.7,100.0,A
69031,1.6,71.1,6.0,44.7,D
69032,14.4,79.4,4.6,78.3,B
69033,18.0,75.9,1.4,100.0,A
69034,17.0,78.0,8.1,85.7,A
69035,10.9,60.5,4.9,77.3,B
69036,15.3,100.0,4.9,91.3,A
69037,21.5,69.3,5.7,80.2,B
69038,9.0,80.8,10.0,68.4,C
69039,25.9,74.0,2.4,100.0,A
69040,5.3,90.8,0.9,53.1,D
69041,21.3,81.9,6.8,91.7,A
69042,15.4,81.6,5.8,87.6,A
69043,11.4,86.3,8.6,77.1,B
69044,2.1,86.8,7.3,47.5,D
69045,23.3,78.0,6.2,98.9,A
69046,8.5,88.4,7.5,70.7,B
69047,14.8,75.0,7.1,85.9,A
69048,18.3,87.8,8.8,77.2,B
69049,31.7,89.8,6.3,100.0,A
69050,12.5,79.0,3.8,87.9,A
69051,15.4,84.7,6.6,86.9,A
69052,17.9,85.4,9.9,100.0,A
69053,15.8,81.2,2.9,80.7,B
69054,9.7,87.7,5.4,91.5,A
69055,25.4,84.5,8.3,90.7,A
69056,11.8,83.9,6.8,84.8,B
69057,18.3,91.7,6.9,89.9,A
69058,13.5,88.2,8.5,100.0,A
69059,10.8,87.1,6.4,80.7,B
69060,22.3,91.2,6.3,100.0,A
69061,16.8,88.0,5.2,98.2,A
69062,0.0,99.2,6.9,67.5,C
69063,17.1,79.6,3.9,100.0,A
69064,10.6,95.3,9.1,85.8,A
69065,3.9,81.8,7.9,87.3,A
69066,21.7,83.8,5.3,98.2,A
69067,9.7,89.2,6.9,59.5,C
69068,16.8,90.0,8.6,92.8,A
69069,21.4,88.9,5.9,100.0,A
69070,13.3,72.5,6.9,80.9,B
69071,16.8,85.6,6.5,71.9,B
69072,10.2,80.2,4.5,77.5,B
69073,22.7,89.6,6.7,100.0,A
69074,13.7,85.9,3.4,69.1,C
69075,18.8,100.0,9.7,94.0,A
69076,25.5,88.6,4.1,100.0,A
69077,2.0,77.3,4.2,51.7,D
69078,10.2,81.0,4.0,81.5,B
69079,13.8,80.0,7.4,93.1,A
69080,15.9,83.8,6.6,86.3,A
69081,19.3,79.6,4.1,100.0,A
69082,23.5,88.8,3.7,100.0,A
69083,9.8,76.8,8.4,61.8,C
69084,13.6,83.2,9.5,100.0,A
69085,22.9,83.6,7.8,100.0,A
69086,17.4,90.3,5.8,65.2,C
69087,3.1,84.0,7.3,54.2,D
69088,2.5,76.5,7.4,46.4,D
69089,11.6,88.3,6.2,92.1,A
69090,18.9,97.1,8.3,100.0,A
69091,18.7,92.1,7.0,100.0,A
69092,8.7,67.1,5.8,64.9,C
69093,19.6,80.8,4.0,100.0,A
69094,16.8,85.6,8.4,92.1,A
69095,7.4,79.9,8.0,73.1,B
69096,10.8,80.0,6.4,64.5,C
69097,1.4,91.1,4.8,82.5,B
69098,6.7,82.8,5.8,73.6,B
69099,1.8,97.7,4.5,57.1,C
69100,4.2,75.8,5.6,56.1,C
69101,26.8,72.4,3.2,100.0,A
69102,12.2,83.1,8.7,90.2,A
69103,2.6,79.0,5.9,61.3,C
69104,17.9,79.4,6.4,85.2,A
69105,17.0,99.3,3.8,97.8,A
69106,16.4,97.4,7.2,96.6,A
69107,8.9,100.0,7.1,73.8,B
69108,19.4,81.7,6.3,100.0,A
69109,7.3,82.6,1.8,71.8,B
69110,20.6,100.0,4.0,100.0,A
69111,21.2,71.4,8.7,100.0,A
69112,14.6,91.0,5.5,89.9,A
69113,4.7,79.9,8.0,65.5,C
69114,20.6,100.0,5.5,100.0,A
69115,10.9,80.4,6.2,96.5,A
69116,16.9,96.1,1.8,97.8,A
69117,19.8,91.5,2.8,100.0,A
69118,9.3,94.4,9.4,62.6,C
69119,30.0,77.7,4.9,100.0,A
69120,14.7,74.8,4.8,80.9,B
69121,10.3,89.2,6.3,72.0,B
69122,22.0,80.9,5.3,100.0,A
69123,25.8,79.1,4.8,100.0,A
69124,0.5,83.9,8.6,57.8,C
69125,5.3,98.0,4.6,59.0,C
69126,9.6,82.9,5.1,87.1,A
69127,29.8,77.5,6.5,100.0,A
69128,11.6,76.7,6.2,95.4,A
69129,25.6,74.4,5.2,91.9,A
69130,16.5,95.4,9.3,99.8,A
69131,4.8,86.5,7.5,45.9,D
69132,21.2,100.0,2.1,97.4,A
69133,17.2,71.7,7.0,97.4,A
69134,9.0,88.7,7.7,44.2,D
69135,10.4,94.2,4.7,84.5,B
69136,7.7,91.5,6.7,57.4,C
69137,10.6,95.4,5.6,76.3,B
69138,19.6,89.2,3.2,100.0,A
69139,8.7,98.7,6.9,73.1,B
69140,15.6,72.7,5.7,78.8,B
69141,17.2,85.0,6.9,78.7,B
69142,14.6,73.9,6.1,90.5,A
69143,3.7,89.7,1.7,55.6,C
69144,20.2,98.7,7.2,100.0,A
69145,6.8,83.8,8.1,91.0,A
69146,11.0,90.7,1.4,60.0,C
69147,11.8,85.2,7.0,100.0,A
69148,14.8,80.6,6.9,88.0,A
69149,15.7,66.6,6.5,94.4,A
69150,19.8,89.0,7.2,91.1,A
69151,12.8,100.0,4.9,100.0,A
69152,6.5,83.8,6.6,60.1,C
69153,22.6,100.0,2.9,100.0,A
69154,12.2,86.1,6.3,81.2,B
69155,13.7,82.4,5.4,98.7,A
69156,8.0,95.1,3.8,79.4,B
69157,8.9,86.8,4.3,66.4,C
69158,25.1,82.1,1.2,86.6,A
69159,5.4,100.0,4.2,55.9,C
69160,6.4,83.0,9.7,52.9,D
69161,11.8,90.1,5.3,80.3,B
69162,17.2,98.6,7.7,85.4,A
69163,8.2,82.0,4.9,76.7,B
69164,4.0,80.5,6.2,48.4,D
69165,6.5,89.4,9.0,83.3,B
69166,12.1,92.2,1.2,69.2,C
69167,8.0,96.0,7.8,61.3,C
69168,30.6,83.6,5.8,100.0,A
69169,28.9,96.1,6.8,100.0,A
69170,23.2,87.1,7.2,100.0,A
69171,17.6,83.9,5.7,100.0,A
69172,17.6,100.0,6.5,100.0,A
69173,24.3,67.3,5.5,100.0,A
69174,15.9,78.8,5.6,98.2,A
69175,9.2,96.3,4.8,75.8,B
69176,29.9,93.7,7.2,100.0,A
69177,19.0,85.4,9.2,94.4,A
69178,25.2,68.6,7.6,100.0,A
69179,27.7,90.2,8.4,100.0,A
69180,2.6,89.6,3.0,66.7,C
69181,9.0,72.8,4.5,61.9,C
69182,13.6,74.8,4.3,100.0,A
69183,18.5,99.1,5.9,75.4,B
69184,21.4,66.3,4.3,100.0,A
69185,14.6,93.2,7.6,98.6,A
69186,24.0,100.0,3.2,95.6,A
69187,19.3,98.6,5.0,91.1,A
69188,19.2,85.0,7.4,75.6,B
69189,13.1,79.4,6.7,88.1,A
69190,17.2,77.2,5.9,76.6,B
69191,17.2,72.2,5.1,83.5,B
69192,21.7,74.0,7.6,100.0,A
69193,5.8,98.0,3.2,44.8,D
69194,19.9,88.0,6.5,100.0,A
69195,3.5,83.6,3.1,58.1,C
69196,9.0,80.1,6.9,84.6,B
69197,19.3,76.2,6.4,94.1,A
69198,9.1,93.6,6.7,58.8,C
69199,15.2,91.4,6.8,95.7,A
69200,8.6,69.8,3.3,67.3,C
69201,19.2,90.9,5.0,100.0,A
69202,15.3,82.2,5.2,63.3,C
69203,14.8,83.0,3.4,80.2,B
69204,22.7,93.7,9.1,100.0,A
69205,17.9,91.0,5.6,100.0,A
69206,18.5,100.0,6.8,86.4,A
69207,22.8,82.9,4.1,100.0,A
69208,23.5,69.5,8.1,100.0,A
69209,8.3,95.7,7.2,63.8,C
69210,20.2,98.3,6.4,93.7,A
69211,18.0,90.5,6.3,86.9,A
69212,24.2,93.7,6.7,100.0,A
69213,6.0,78.7,4.1,74.1,B
69214,10.2,98.0,9.2,73.0,B
69215,13.6,93.7,10.0,83.5,B
69216,24.8,81.1,5.5,100.0,A
69217,13.0,75.7,6.4,68.0,C
69218,14.7,78.5,8.4,76.6,B
69219,10.2,75.9,7.8,61.0,C
69220,20.5,87.1,4.3,99.6,A
69221,19.7,84.6,5.3,85.2,A
69222,11.2,94.1,9.6,88.1,A
69223,7.7,61.5,3.4,69.2,C
69224,20.4,71.7,5.7,100.0,A
69225,18.6,71.8,6.0,100.0,A
69226,10.4,89.6,6.6,93.5,A
69227,19.9,97.0,7.7,88.7,A
69228,19.5,86.2,4.6,98.9,A
69229,23.6,80.5,6.3,100.0,A
69230,20.9,95.3,2.0,100.0,A
69231,12.6,84.3,7.2,74.4,B
69232,9.7,85.6,5.2,81.3,B
69233,29.1,88.7,10.0,100.0,A
69234,11.4,89.9,4.2,85.7,A
69235,2.2,79.3,3.5,44.3,D
69236,6.5,82.7,10.0,63.5,C
69237,0.8,73.6,7.2,14.7,F
69238,23.5,79.9,2.7,100.0,A
69239,27.8,79.4,4.5,100.0,A
69240,16.7,89.3,10.0,78.6,B
69241,3.8,94.3,4.8,66.1,C
69242,23.4,89.2,4.4,100.0,A
69243,18.3,82.7,5.0,87.1,A
69244,23.6,90.2,6.2,100.0,A
69245,19.1,79.0,7.2,88.8,A
69246,5.3,74.0,7.4,58.2,C
69247,19.6,93.1,6.3,93.6,A
69248,4.1,77.1,5.9,79.4,B
69249,9.6,90.4,4.1,75.3,B
69250,22.2,84.7,3.2,100.0,A
69251,21.9,80.2,6.2,100.0,A
69252,8.4,84.1,3.1,69.6,C
69253,7.0,81.2,9.8,64.6,C
69254,15.2,68.1,8.1,100.0,A
69255,29.0,94.9,4.0,100.0,A
69256,18.9,80.3,5.9,100.0,A
69257,31.5,68.1,10.0,100.0,A
69258,13.8,86.7,5.8,86.5,A
69259,21.2,85.5,3.7,100.0,A
69260,12.8,88.4,9.0,79.7,B
69261,9.4,93.9,6.6,71.2,B
69262,8.3,64.6,4.9,56.9,C
69263,17.5,78.0,7.6,81.5,B
69264,24.1,89.0,3.2,100.0,A
69265,12.7,97.1,7.4,86.9,A
69266,24.9,94.0,7.2,100.0,A
69267,27.8,90.4,5.7,99.5,A
69268,21.1,91.2,7.9,93.8,A
69269,17.3,85.1,5.4,100.0,A
69270,10.3,94.7,7.2,96.3,A
69271,24.1,82.3,9.7,100.0,A
69272,7.0,91.2,6.9,76.4,B
69273,19.3,92.1,6.2,99.6,A
69274,6.0,81.7,4.1,82.8,B
69275,7.6,80.3,5.3,56.3,C
69276,14.6,83.2,3.5,75.9,B
69277,19.9,80.1,5.2,100.0,A
69278,22.0,91.3,5.6,100.0,A
69279,15.0,80.9,8.0,99.6,A
69280,12.1,100.0,6.9,92.4,A
69281,9.5,90.8,3.1,61.1,C
69282,19.9,89.7,6.2,83.5,B
69283,19.6,80.3,10.0,100.0,A
69284,16.2,98.2,9.6,89.7,A
69285,17.1,91.8,4.1,90.8,A
69286,26.2,98.1,5.0,100.0,A
69287,22.1,90.8,9.3,100.0,A
69288,5.1,97.4,5.1,44.3,D
69289,21.2,98.3,8.0,84.4,B
69290,24.7,100.0,7.6,100.0,A
69291,9.3,85.9,7.5,78.3,B
69292,21.6,92.8,4.0,100.0,A
69293,36.0,89.1,8.7,100.0,A
69294,18.4,70.2,3.0,98.5,A
69295,13.4,82.0,6.0,65.8,C
69296,14.3,96.8,7.2,93.7,A
69297,15.9,83.9,5.4,88.5,A
69298,4.0,99.3,8.8,55.6,C
69299,3.6,90.3,6.2,87.8,A
69300,16.9,90.9,3.0,100.0,A
69301,14.7,69.5,4.7,91.4,A
69302,19.6,85.5,6.0,100.0,A
69303,13.0,62.4,6.8,89.1,A
69304,15.6,79.8,6.6,84.8,B
69305,21.7,91.5,7.1,100.0,A
69306,0.0,80.9,6.4,43.1,D
69307,8.6,92.1,6.3,75.6,B
69308,11.3,87.4,6.9,94.6,A
69309,13.9,100.0,7.3,93.8,A
69310,5.1,87.4,9.9,75.3,B
69311,8.6,95.6,6.5,60.7,C
69312,19.9,100.0,6.4,86.0,A
69313,18.3,99.6,10.0,97.5,A
69314,0.0,81.8,6.6,60.9,C
69315,13.4,80.5,6.7,82.9,B
69316,14.0,77.0,8.4,92.1,A
69317,8.6,85.2,7.4,54.5,D
69318,14.0,86.1,6.2,81.8,B
69319,17.7,97.3,5.7,72.6,B
69320,20.0,96.3,4.8,100.0,A
69321,15.7,87.6,6.9,95.4,A
69322,19.5,88.8,7.8,100.0,A
69323,15.1,74.1,7.5,86.5,A
69324,0.0,93.8,6.4,53.3,D
69325,14.1,81.4,7.4,89.9,A
69326,6.4,72.9,4.5,57.4,C
69327,15.8,76.0,6.0,100.0,A
69328,13.5,98.2,2.5,80.6,B
69329,13.4,79.7,6.1,100.0,A
69330,9.1,72.9,8.1,72.8,B
69331,12.2,87.0,8.9,66.0,C
69332,17.1,89.5,6.7,100.0,A
69333,8.6,100.0,3.3,64.7,C
69334,10.7,72.3,6.4,66.3,C
69335,2.7,79.3,4.8,61.5,C
69336,17.0,74.6,3.6,100.0,A
69337,6.1,69.7,5.5,54.9,D
69338,15.2,71.5,3.6,91.4,A
69339,19.9,81.0,6.5,100.0,A
69340,23.9,98.9,7.0,100.0,A
69341,12.7,62.9,7.1,75.8,B
69342,19.4,96.1,5.7,100.0,A
69343,14.9,80.2,9.0,71.6,B
69344,1.9,89.5,7.4,65.7,C
69345,4.6,79.4,6.5,60.8,C
69346,20.9,75.8,9.7,88.5,A
69347,23.1,94.1,6.5,100.0,A
69348,0.2,93.2,7.6,57.2,C
69349,17.3,89.5,6.1,90.0,A
69350,16.9,95.9,6.8,100.0,A
69351,9.4,99.7,1.1,45.8,D
69352,9.5,100.0,6.6,100.0,A
69353,7.6,89.4,8.3,67.6,C
69354,1.6,88.9,9.1,61.6,C
69355,7.6,86.1,3.3,48.5,D
69356,19.9,74.5,4.0,100.0,A
69357,12.5,97.1,6.9,78.5,B
69358,20.1,91.9,3.2,97.3,A
69359,1.0,88.1,6.7,63.8,C
69360,18.1,96.8,7.8,91.4,A
69361,20.4,100.0,4.1,83.9,B
69362,0.0,68.0,9.7,52.9,D
69363,11.3,76.8,4.2,76.1,B
69364,17.4,70.0,8.0,100.0,A
69365,24.1,73.7,7.3,100.0,A
69366,5.3,96.4,1.9,64.4,C
69367,24.7,75.5,5.9,90.9,A
69368,18.1,90.8,6.0,96.7,A
69369,8.0,90.3,6.0,76.5,B
69370,21.9,74.1,4.4,100.0,A
69371,31.1,76.8,1.6,100.0,A
69372,12.7,98.6,6.2,60.9,C
69373,12.1,79.0,9.5,74.9,B
69374,8.3,100.0,5.5,66.9,C
69375,27.9,73.8,5.5,100.0,A
69376,9.9,87.2,7.1,70.1,B
69377,8.2,69.8,7.2,70.2,B
69378,10.6,90.8,8.3,77.2,B
69379,10.7,90.8,4.8,89.6,A
69380,11.0,89.9,6.8,97.4,A
69381,9.5,89.1,2.3,68.1,C
69382,10.0,74.1,7.4,85.1,A
69383,16.0,92.4,7.3,79.2,B
69384,24.4,100.0,5.6,100.0,A
69385,8.1,95.1,9.8,75.0,B
69386,5.9,89.7,4.4,66.4,C
69387,17.3,79.3,5.8,100.0,A
69388,18.7,53.4,6.3,100.0,A
69389,25.8,80.7,8.0,100.0,A
69390,24.9,58.1,6.7,100.0,A
69391,3.9,78.6,3.4,71.7,B
69392,1.0,81.2,6.3,55.2,C
69393,19.0,93.3,5.1,88.7,A
69394,18.8,100.0,3.9,90.7,A
69395,25.4,96.3,2.8,100.0,A
69396,17.7,88.0,5.4,98.8,A
69397,11.1,94.6,6.0,75.0,B
69398,22.3,94.5,8.7,100.0,A
69399,7.7,72.6,9.1,77.9,B
69400,29.0,100.0,5.7,100.0,A
69401,16.9,86.8,8.1,93.8,A
69402,9.8,80.9,3.9,85.4,A
69403,8.8,94.1,6.1,72.6,B
69404,16.4,100.0,7.4,93.5,A
69405,14.4,87.5,5.7,90.8,A
69406,14.0,95.1,6.5,78.7,B
69407,5.8,74.1,5.3,59.7,C
69408,13.9,82.2,7.4,86.0,A
69409,20.8,100.0,6.7,100.0,A
69410,9.7,91.5,7.3,87.5,A
69411,16.8,100.0,4.9,72.9,B
69412,22.8,90.1,4.8,100.0,A
69413,19.4,80.1,4.7,79.2,B
69414,6.5,85.6,5.8,71.1,B
69415,17.2,73.2,7.6,91.6,A
69416,25.3,82.3,7.8,91.3,A
69417,18.5,72.0,8.5,84.2,B
69418,23.3,80.7,7.3,100.0,A
69419,21.9,87.8,2.6,91.2,A
69420,7.0,77.5,7.9,50.5,D
69421,27.5,79.9,7.6,100.0,A
69422,23.8,76.4,6.8,100.0,A
69423,13.0,73.3,7.9,92.5,A
69424,24.1,94.0,7.8,100.0,A
69425,14.1,97.3,6.7,90.8,A
69426,14.4,88.4,6.0,82.4,B
69427,8.7,82.6,3.1,68.9,C
69428,7.8,100.0,4.8,52.9,D
69429,16.0,84.4,3.3,79.8,B
69430,13.2,87.6,4.1,96.6,A
69431,4.6,81.7,6.8,52.1,D
69432,17.5,79.8,4.5,97.0,A
69433,18.6,86.9,5.4,98.6,A
69434,17.1,64.9,3.0,81.4,B
69435,17.0,85.1,7.7,72.5,B
69436,17.9,65.8,5.2,95.1,A
69437,16.2,74.5,5.1,85.7,A
69438,17.4,88.9,7.0,100.0,A
69439,18.5,96.2,6.8,100.0,A
69440,10.9,91.5,4.6,65.7,C
69441,6.1,92.0,7.5,48.8,D
69442,17.2,75.3,7.4,100.0,A
69443,16.1,85.4,7.1,82.6,B
69444,18.2,69.7,3.6,100.0,A
69445,23.0,77.2,7.4,100.0,A
69446,14.8,73.7,4.1,83.9,B
69447,14.1,86.9,4.3,91.0,A
69448,18.3,80.1,6.8,100.0,A
69449,7.9,71.6,3.9,61.7,C
69450,15.3,92.3,5.3,100.0,A
69451,14.3,96.3,4.6,86.3,A
69452,21.1,90.8,8.2,97.3,A
69453,11.8,91.5,4.1,100.0,A
69454,15.6,69.5,8.6,85.1,A
69455,13.9,73.8,7.9,75.7,B
69456,0.0,76.1,7.4,45.0,D
69457,11.3,100.0,7.3,71.4,B
69458,14.9,85.4,4.3,81.7,B
69459,8.8,84.6,9.4,66.6,C
69460,14.1,69.5,8.1,94.6,A
69461,24.4,72.2,5.0,100.0,A
69462,21.7,83.3,7.5,100.0,A
69463,1.9,66.6,6.2,58.3,C
69464,20.3,80.6,7.1,100.0,A
69465,18.9,85.1,6.2,87.6,A
69466,14.3,83.7,3.0,78.4,B
69467,0.0,65.3,6.2,73.5,B
69468,20.5,100.0,4.0,100.0,A
69469,12.0,96.8,5.8,87.0,A
69470,16.5,96.6,8.5,88.9,A
69471,8.2,81.7,7.4,63.1,C
69472,9.8,92.6,6.1,67.4,C
69473,21.6,72.7,6.1,100.0,A
69474,26.4,97.5,9.0,100.0,A
69475,12.0,83.4,7.0,79.7,B
69476,25.6,78.9,6.8,100.0,A
69477,12.0,92.0,5.9,60.4,C
69478,11.9,88.6,9.6,66.7,C
69479,5.1,85.5,6.8,68.4,C
69480,18.5,69.3,7.9,100.0,A
69481,13.6,84.9,6.8,90.5,A
69482,14.0,92.4,3.8,84.8,B
69483,12.3,96.5,6.8,95.3,A
69484,8.1,79.5,7.7,63.6,C
69485,19.4,81.8,8.8,100.0,A
69486,14.6,98.9,6.7,83.1,B
69487,20.7,98.3,5.8,99.5,A
69488,8.4,81.1,7.0,76.3,B
69489,16.7,87.1,7.3,100.0,A
69490,30.0,79.4,6.0,100.0,A
69491,10.0,82.0,6.5,74.5,B
69492,11.6,78.4,3.7,85.2,A
69493,11.5,77.6,7.7,80.7,B
69494,7.7,92.1,2.4,63.6,C
69495,26.6,75.8,4.8,100.0,A
69496,0.0,75.1,1.6,70.9,B
69497,6.4,83.8,4.9,80.3,B
69498,18.3,94.1,4.5,100.0,A
69499,9.9,87.5,6.3,66.4,C
69500,14.8,78.9,6.1,82.4,B
69501,14.8,83.6,8.4,83.8,B
69502,18.5,83.8,9.0,100.0,A
69503,15.6,76.8,3.6,100.0,A
69504,12.3,80.8,9.1,53.2,D
69505,15.9,74.9,3.9,100.0,A
69506,13.8,80.5,8.3,70.5,B
69507,26.9,82.3,3.2,100.0,A
69508,11.0,89.4,3.1,81.7,B
69509,18.9,100.0,4.8,91.5,A
69510,21.4,81.1,8.6,100.0,A
69511,5.7,96.5,6.1,68.7,C
69512,7.2,90.6,5.1,72.7,B
69513,28.5,78.3,8.1,95.7,A
69514,10.3,77.1,5.7,84.3,B
69515,15.1,100.0,4.4,81.6,B
69516,13.8,79.0,9.3,88.8,A
69517,14.7,76.3,5.9,93.5,A
69518,12.4,99.4,10.0,84.7,B
69519,15.8,89.4,6.0,92.4,A
69520,9.3,73.8,9.3,71.0,B
69521,13.4,81.0,6.0,80.2,B
69522,1.2,77.6,6.5,58.4,C
69523,14.2,100.0,7.7,91.5,A
69524,17.3,70.7,6.2,83.7,B
69525,21.7,96.4,4.3,100.0,A
69526,23.0,89.2,10.0,100.0,A
69527,12.4,79.6,9.1,92.5,A
69528,20.9,96.1,8.6,100.0,A
69529,6.9,87.9,7.5,51.3,D
69530,11.4,92.9,6.8,79.4,B
69531,26.3,85.3,4.6,100.0,A
69532,16.3,91.1,4.3,97.0,A
69533,16.6,91.8,4.4,74.2,B
69534,13.8,89.9,5.0,100.0,A
69535,28.1,100.0,7.7,100.0,A
69536,18.7,71.1,6.1,92.3,A
69537,25.4,69.0,2.0,100.0,A
69538,10.9,79.9,5.3,84.2,B
69539,8.2,87.1,4.1,78.7,B
69540,9.6,100.0,4.8,77.1,B
69541,19.4,100.0,10.0,92.5,A
69542,26.5,86.6,2.7,100.0,A
69543,20.2,77.3,2.0,100.0,A
69544,21.1,89.1,4.4,97.4,A
69545,16.2,92.3,6.0,100.0,A
69546,6.1,93.6,6.9,63.6,C
69547,29.2,73.7,6.1,100.0,A
69548,19.7,74.2,8.6,100.0,A
69549,18.7,84.8,7.8,85.5,A
69550,21.1,96.0,4.7,86.7,A
69551,3.0,73.7,7.8,58.9,C
69552,11.5,68.9,3.1,85.8,A
69553,19.4,81.0,7.9,100.0,A
69554,14.0,88.6,5.7,76.3,B
69555,14.5,84.6,4.9,82.5,B
69556,24.0,87.4,4.9,95.8,A
69557,15.8,82.3,2.6,95.0,A
69558,31.6,92.4,6.5,100.0,A
69559,14.7,90.1,3.4,79.0,B
69560,20.6,80.0,6.7,92.6,A
69561,18.4,89.8,7.6,86.5,A
69562,11.0,85.6,4.4,79.9,B
69563,7.8,87.4,7.0,56.4,C
69564,15.3,90.8,9.0,88.8,A
69565,28.4,87.3,6.8,100.0,A
69566,12.2,100.0,6.5,93.9,A
69567,18.6,94.6,8.9,75.1,B
69568,13.2,79.0,4.6,84.5,B
69569,16.6,81.8,3.5,100.0,A
69570,23.0,88.4,7.2,100.0,A
69571,15.8,70.8,4.6,84.9,B
69572,10.7,93.0,7.1,80.8,B
69573,26.2,90.9,3.3,100.0,A
69574,10.8,81.0,8.9,84.4,B
69575,19.7,81.0,7.8,97.9,A
69576,4.6,100.0,2.0,56.7,C
69577,24.0,77.5,7.0,100.0,A
69578,33.2,88.8,3.5,100.0,A
69579,14.8,71.4,2.7,71.3,B
69580,7.8,96.9,6.3,73.3,B
69581,20.4,94.0,6.4,100.0,A
69582,15.6,100.0,6.4,85.4,A
69583,30.0,72.8,4.4,100.0,A
69584,10.8,84.3,4.0,66.1,C
69585,5.6,91.3,7.5,72.8,B
69586,17.1,84.7,3.2,74.5,B
69587,19.1,86.0,3.6,80.2,B
69588,9.6,91.4,4.7,69.6,C
69589,21.7,87.7,4.1,94.4,A
69590,15.4,90.3,4.2,84.1,B
69591,13.1,83.6,5.3,82.4,B
69592,18.8,93.1,3.1,88.5,A
69593,13.0,100.0,6.6,91.9,A
69594,9.9,77.8,5.1,72.4,B
69595,3.7,93.8,2.8,55.4,C
69596,10.7,90.2,3.0,99.8,A
69597,32.5,95.6,5.4,100.0,A
69598,15.3,95.6,7.0,96.3,A
69599,7.9,85.7,6.1,87.8,A
69600,23.9,87.4,4.3,100.0,A
69601,14.7,79.1,6.5,100.0,A
69602,17.0,87.6,6.2,99.9,A
69603,16.9,100.0,8.0,94.4,A
69604,25.4,64.9,3.4,100.0,A
69605,5.7,82.6,1.8,61.5,C
69606,25.2,88.4,2.7,96.3,A
69607,20.2,83.4,2.6,89.3,A
69608,15.5,87.4,4.3,91.9,A
69609,9.0,89.5,5.9,66.8,C
69610,13.3,92.8,8.0,93.6,A
69611,15.3,77.2,7.7,79.7,B
69612,27.7,95.5,2.6,100.0,A
69613,25.0,81.2,4.2,100.0,A
69614,12.3,81.1,5.3,76.5,B
69615,29.1,72.5,5.1,100.0,A
69616,21.7,72.0,5.9,100.0,A
69617,18.3,81.9,2.9,100.0,A
69618,13.0,99.8,5.7,75.2,B
69619,11.0,81.9,8.2,72.0,B
69620,18.8,84.9,8.0,88.8,A
69621,17.7,93.0,6.1,87.8,A
69622,12.3,76.8,6.3,87.7,A
69623,22.8,69.7,5.3,100.0,A
69624,16.1,82.9,3.5,100.0,A
69625,17.9,94.5,3.7,96.6,A
69626,22.5,82.1,6.3,100.0,A
69627,20.8,83.0,7.3,93.4,A
69628,3.7,85.4,6.3,55.0,C
69629,20.3,73.5,7.0,100.0,A
69630,15.2,87.6,4.3,95.8,A
69631,11.9,82.8,8.3,86.3,A
69632,15.4,81.9,4.1,90.8,A
69633,12.9,83.8,7.4,94.8,A
69634,15.9,85.9,4.1,72.9,B
69635,14.9,66.6,7.6,90.5,A
69636,19.8,84.2,8.1,87.8,A
69637,4.3,83.1,6.5,51.2,D
69638,16.3,93.0,6.6,98.7,A
69639,14.8,94.1,3.4,82.9,B
69640,30.8,87.9,8.3,100.0,A
69641,1.3,100.0,7.2,63.6,C
69642,21.5,100.0,7.0,100.0,A
69643,18.0,67.3,7.1,99.8,A
69644,20.4,82.8,4.7,92.6,A
69645,11.9,95.0,4.6,69.7,C
69646,17.2,100.0,8.2,93.0,A
69647,16.0,67.7,7.6,81.0,B
69648,39.8,87.1,6.8,100.0,A
69649,12.8,90.2,7.0,80.4,B
69650,9.5,81.6,4.8,62.3,C
69651,29.0,94.6,4.3,100.0,A
69652,17.4,93.2,6.4,93.8,A
69653,18.6,100.0,6.5,96.1,A
69654,22.9,88.2,5.4,94.8,A
69655,15.5,95.9,3.6,95.1,A
69656,12.1,82.4,7.2,80.3,B
69657,15.9,88.9,3.4,84.2,B
69658,9.1,84.3,7.0,81.8,B
69659,4.8,75.7,5.5,63.4,C
69660,9.1,75.7,8.0,83.2,B
69661,0.0,59.2,4.3,36.8,F
69662,12.4,88.4,8.6,75.2,B
69663,11.5,87.4,5.3,72.5,B
69664,19.2,100.0,8.0,100.0,A
69665,15.9,98.2,4.1,73.3,B
69666,14.0,84.4,6.5,78.6,B
69667,23.2,66.5,8.9,100.0,A
69668,12.1,70.6,4.6,64.1,C
69669,7.2,86.9,10.0,72.0,B
69670,0.0,85.0,4.2,29.3,F
69671,15.2,81.9,6.5,77.9,B
69672,14.6,90.4,6.9,92.2,A
69673,23.9,69.0,6.8,100.0,A
69674,8.9,76.0,6.1,75.2,B
69675,20.3,90.8,3.3,88.5,A
